word|Sub|emotion
impuesto|Desagrado|Enfado
impulso|Asombro|Sorpresa
inadecuada|Frustrado|Tristeza
inadecuadamente|Frustrado|Tristeza
inadecuadas|Frustrado|Tristeza
inadecuado|Frustrado|Tristeza
inauguración|Entusiasmado|Alegría
incapacidad|Desafortunado|Enfado
incesante|Desfavorable|Enfado
incidente|Confusión|Sorpresa
incluido|Complacido|Alegría
incluir|Complacido|Alegría
inclusión|Fe|Confianza
incluso|Complacido|Alegría
incómoda|Decepcionado|Tristeza
incómodas|Decepcionado|Tristeza
incomodidad|Frustrado|Tristeza
incómodo|Amargado|Tristeza
incompleto|Perjudicial|Enfado
inconcluso|Desfavorable|Enfado
inconforme|Descontento|Enfado
inconformes|Descontento|Enfado
inconformidades|Descontento|Enfado
inconformismo|Descontento|Enfado
incongruentes|Descontento|Enfado
inconsistencia|Descontento|Enfado
inconsistencias|Descontento|Enfado
inconsistente|Descontento|Enfado
inconsistentes|Descontento|Enfado
inconveniente|Descontento|Enfado
inconvenientes|Hostil|Enfado
incorrecto|Adverso|Enfado
increíble|Desafortunado|Enfado
incumpla|Decepcionado|Tristeza
incumple|Decepcionado|Tristeza
incumplen|Decepcionado|Tristeza
incumplida|Decepcionado|Tristeza
incumplidas|Decepcionado|Tristeza
incumplido|Decepcionado|Tristeza
incumpliendo|Molestia|Enfado
incumpliéndose|Decepcionado|Tristeza
incumpliera|Decepcionado|Tristeza
incumplieron|Decepcionado|Tristeza
incumplimento|Decepcionado|Tristeza
incumplimiento|Desafortunado|Enfado
incumplimientos|Decepcionado|Tristeza
incumplió|Decepcionado|Tristeza
incumplir|Decepcionado|Tristeza
incumpliría|Decepcionado|Tristeza
incursionando|Descontento|Enfado
indemnizar|Hostil|Enfado
independencia|Animado|Alegría
indeterminado|Desafortunado|Enfado
indignado|molesto|Enfado
indisponibilidad|Molestia|Enfado
indisponibilidaddes|Molestia|Enfado
inesperadamente|Admiración|Sorpresa
inesperado|Extrañeza|Sorpresa
inestabilidad|Angustiado|Miedo
inestable|Inseguro|Miedo
infantil|Enfado|Enfado
inferior|Decepcionado|Tristeza
inferiores|Decepcionado|Tristeza
infierno|Furioso|Enfado
inflación|Desafortunado|Enfado
influencia|Complacido|Alegría
influyente|Determinación|Confianza
información|Complacido|Alegría
informar|Seguridad|Confianza
infracción|Desfavorable|Enfado
infructuosa|Enfado|Enfado
infructuosamente|Enfado|Enfado
infructuoso|Triste|Tristeza
infructuosos|Enfado|Enfado
ingenio|Complacido|Alegría
ingresos|Contento|Alegría
inhabilitar|Desfavorable|Enfado
injusto|molesto|Enfado
inmediatamente|Adverso|Enfado
inminente|Asombro|Sorpresa
inquietud|Confusión|Sorpresa
insatisfacción|Perjudicial|Enfado
insatisfecho|Descontento|Enfado
inseguridad|Desesperado|Miedo
instrucción|Franqueza|Confianza
instrucciones|Fe|Confianza
insuficiente|Hostil|Enfado
insulto|Enfado|Enfado
integridad|Esperanza|Confianza
inteligente|Determinación|Confianza
intenso|Animado|Alegría
intentar|Franqueza|Confianza
interesado|Fascinado|Alegría
interesante|Tranquilo|Alegría
interferencia|Desfavorable|Enfado
interior|Seguridad|Confianza
interpretación|Hostil|Enfado
interrumpe|Confuso|Miedo
interrumpen|Confuso|Miedo
interrumpido|Confuso|Tristeza
interrumpidos|Confuso|Miedo
interrumpiendo|Confuso|Miedo
interrumpieron|Confuso|Miedo
interrumpió|Confuso|Miedo
interrumpir|Agresivo|Enfado
interrupción|Confuso|Miedo
interrupciones|Confuso|Miedo
interrupieron|Confuso|Miedo
intervención|Perjudicial|Enfado
invadir|Furioso|Enfado
invalida|Impotente|Tristeza
invalidada|Impotente|Tristeza
invalidez|Desfavorable|Enfado
invalido|Impotente|Tristeza
inválido|Impotente|Tristeza
invalidos|Impotente|Tristeza
invasión|Confuso|Miedo
investigar|Fascinado|Alegría
invitación|Alegre|Alegría
involuntariamente|Perjudicial|Enfado
involuntario|Desafortunado|Enfado
ira|irritado|Enfado
irrefutable|Determinación|Confianza
irregular|Desfavorable|Enfado
irreparable|Apenado|Tristeza
irrevocable|Hostil|Enfado
judicial|Admiración|Sorpresa
juego|Desconcierto|Sorpresa
juicio|Susto|Sorpresa
jurado|Seguridad|Confianza
jurídica|Confusión|Sorpresa
justa|Entusiasmado|Alegría
justicia|Fe|Confianza
justificación|Encantado|Alegría
justificar|Fe|Confianza
justo|Seguridad|Confianza
lamentablemente|Decepcionado|Tristeza
lanzamiento|Impresión|Sorpresa
lapso|Adverso|Enfado
láser|Seguridad|Confianza
lástima|Amargado|Tristeza
latente|Confusión|Sorpresa
lector|Complacido|Alegría
legado|Fe|Confianza
legal|Esperanza|Confianza
legalizado|Satisfecho|Alegría
legible|Complacido|Alegría
legitimidad|Determinación|Confianza
lentitud|Adverso|Enfado
lento|Perjudicial|Enfado
lesión|molesto|Enfado
lesionado|Perjudicial|Enfado
levantamiento|Confusión|Sorpresa
ley|Determinación|Confianza
líder|Determinación|Confianza
ligado|Adverso|Enfado
limitado|Decepcionado|Tristeza
llamaban|Insatisfecho|Enfado
llamadas|Desconcierto|Sorpresa
llamados|Insatisfecho|Enfado
llamamos|Insatisfecho|Enfado
llaman|Insatisfecho|Enfado
llamando|Insatisfecho|Enfado
llamara|Insatisfecho|Enfado
llamará|Insatisfecho|Enfado
llamaran|Insatisfecho|Enfado
llamaré|Insatisfecho|Enfado
llamaremos|Insatisfecho|Enfado
llamaria|Insatisfecho|Enfado
llamarían|Insatisfecho|Enfado
llamarla|Insatisfecho|Enfado
llamarlo|Insatisfecho|Enfado
llamarlos|Insatisfecho|Enfado
llamarnos|Insatisfecho|Enfado
llamaron|Insatisfecho|Enfado
llamé|Insatisfecho|Enfado
llamó|Insatisfecho|Enfado
llegada|Extrañeza|Sorpresa
llegar|Susto|Sorpresa
llenar|Franqueza|Confianza
llorar|Triste|Tristeza
lluvioso|Decepcionado|Tristeza
localizar|Desconcierto|Sorpresa
locura|Molestia|Enfado
lógico|Entusiasmado|Alegría
lograr|Franqueza|Confianza
logro|Satisfecho|Alegría
longevidad|Fascinado|Alegría
lotería|Extrañeza|Sorpresa
mal|Enojado|Enfado
malentendido|Desafortunado|Enfado
malestar|Frustrado|Tristeza
malo|molesto|Enfado
mañana|Confusión|Sorpresa
manipulación|Enojado|Enfado
manipular|Adverso|Enfado
mantenimiento|Fe|Confianza
matar|Desesperado|Miedo
matriz|Complacido|Alegría
máxima|Franqueza|Confianza
máximo|Complacido|Alegría
mayor|Seguridad|Confianza
mayoria|Animado|Alegría
mediación|Complacido|Alegría
mediar|Encantado|Alegría
medida|Esperanza|Confianza
medir|Fe|Confianza
mejora|Tranquilo|Alegría
mejorado|Encantado|Alegría
mejoramiento|Fascinado|Alegría
mejorando|Entusiasmado|Alegría
mejorar|Satisfecho|Alegría
menor|Enfado|Enfado
mensajero|Fe|Confianza
mentira|Insatisfecho|Enfado
mentiras|Fastidio|Enfado
mentor|Franqueza|Confianza
mérito|Entusiasmado|Alegría
meritorio|Agradecido|Alegría
mesurado|Seguridad|Confianza
meter|Confusión|Sorpresa
miedo|Aterrado|Miedo
milagro|Admiración|Sorpresa
ministerio|Esperanza|Confianza
misterio|Extrañeza|Sorpresa
modelo|Complacido|Alegría
moderar|Fascinado|Alegría
modesto|Fascinado|Alegría
modificar|Desconcierto|Sorpresa
molesta|Molesto|Enfado
molestando|Molesto|Enfado
molestar|molesto|Enfado
molestia|Descontento|Enfado
molesto|irritado|Enfado
molestos|Molesto|Enfado
montaje|Determinación|Confianza
montaña|Admiración|Sorpresa
moral|Encantado|Alegría
mota|Desafortunado|Enfado
motivo|Encantado|Alegría
móvil|Complacido|Alegría
movimiento|Impresión|Sorpresa
mudar|Desfavorable|Enfado
muerte|Alarmado|Miedo
muerto|Desafortunado|Enfado
mugre|Molestia|Enfado
mutuo|Entusiasmado|Alegría
nacimiento|Contento|Alegría
nación|Franqueza|Confianza
nada|Amargado|Tristeza
navegador|Desconcierto|Sorpresa
necesidaad|Frustrado|Tristeza
necesidad|Frustrado|Tristeza
necesidades|Frustrado|Tristeza
necesitado|Frustrado|Tristeza
necesitan|Frustrado|Tristeza
necesitando|Frustrado|Tristeza
necesitar|Frustrado|Tristeza
necesitara|Frustrado|Tristeza
necesitará|Frustrado|Tristeza
necesitaré|Frustrado|Tristeza
necesitaría|Frustrado|Tristeza
necesitaríamos|Frustrado|Tristeza
negación|Adverso|Enfado
negado|Agobiado|Tristeza
negando|Adverso|Enfado
negar|irritado|Enfado
negativa|Desfavorable|Enfado
negativo|Perjudicial|Enfado
negligencia|Desfavorable|Enfado
negligente|Adverso|Enfado
negociar|Tranquilo|Alegría
nivel|Encantado|Alegría
normalidad|Tranquilo|Alegría
notable|Impresión|Sorpresa
notificación|Admiración|Sorpresa
núcleo|Fascinado|Alegría
números|Tranquilo|Alegría
nutrir|Complacido|Alegría
obedecer|Franqueza|Confianza
objeción|Desfavorable|Enfado
objetivo|Esperanza|Confianza
obligación|Confusión|Sorpresa
obligar|Descontento|Enfado
obligatorio|Hostil|Enfado
obstáculo|Desfavorable|Enfado
obtener|Tranquilo|Alegría
obvio|Tranquilo|Alegría
ocasional|Extrañeza|Sorpresa
ocupación|Complacido|Alegría
ocupar|Complacido|Alegría
ocurrir|Impresión|Sorpresa
ofender|Enojado|Enfado
oficial|Seguridad|Confianza
ofrecimiento|Esperanza|Confianza
olvidado|Desesperado|Miedo
olvido|Pánico|Miedo
opción|Fascinado|Alegría
oportunidad|Tranquilo|Alegría
oportuno|Satisfecho|Alegría
oposición|irritado|Enfado
oprimir|Furioso|Enfado
opuesto|Perjudicial|Enfado
ordenado|Tranquilo|Alegría
organiza|Complacido|Alegría
organizacen|Complacido|Alegría
organizacion|Complacido|Alegría
organización|Confiado|Alegría
organizada|Complacido|Alegría
organizadas|Complacido|Alegría
organizado|Complacido|Alegría
organizan|Complacido|Alegría
organizando|Complacido|Alegría
organizar|Complacido|Alegría
organizara|Complacido|Alegría
organizará|Complacido|Alegría
organizarla|Complacido|Alegría
organizarlo|Complacido|Alegría
organizaron|Complacido|Alegría
oscura|Agobiado|Tristeza
oscuras|Agobiado|Tristeza
oscuridad|Aterrado|Miedo
oscuro|Agobiado|Tristeza
oxigenodependiente|Angustiado|Miedo
oxigenodependientes|Angustiado|Miedo
paciencia|Asombro|Sorpresa
paciente|Asombro|Sorpresa
paga|Satisfecho|Alegría
pagaba|Insatisfecho|Enfado
pagaban|Insatisfecho|Enfado
pagada|Insatisfecho|Enfado
pagadas|Insatisfecho|Enfado
pagan|Franqueza|Confianza
pagar|Asombro|Sorpresa
pagara|Insatisfecho|Enfado
pagará|Insatisfecho|Enfado
pagaran|Insatisfecho|Enfado
pagaré|Insatisfecho|Enfado
pagaremos|Insatisfecho|Enfado
pagaría|Insatisfecho|Enfado
pagarían|Insatisfecho|Enfado
pagarlas|Insatisfecho|Enfado
pagarle|Insatisfecho|Enfado
pagarles|Insatisfecho|Enfado
pagarlo|molesto|Enfado
pagarlos|Insatisfecho|Enfado
pagas|Insatisfecho|Enfado
pagó|Franqueza|Confianza
pague|molesto|Enfado
palabra|Determinación|Confianza
pánico|Alarmado|Miedo
parcial|Alarmado|Miedo
parcialidad|Furioso|Enfado
particularmente|Asombro|Sorpresa
pasado|Triste|Tristeza
pasajero|Extrañeza|Sorpresa
peligro|Angustiado|Miedo
peligroso|Inseguro|Miedo
pena|Confuso|Tristeza
peor|Decepcionado|Tristeza
percance|Molestia|Enfado
perceptible|Encantado|Alegría
perder|Frustrado|Tristeza
perderá|Frustrado|Tristeza
perderán|Frustrado|Tristeza
perderse|Frustrado|Tristeza
pérdida|Furioso|Enfado
perdiendo|Decepcionado|Tristeza
perdió|Triste|Tristeza
perdón|Entusiasmado|Alegría
perdonar|Complacido|Alegría
perjudicar|Furioso|Enfado
perjudicial|irritado|Enfado
permanece|Perjudicial|Enfado
permiso|Tranquilo|Alegría
permitirse|Tranquilo|Alegría
persistente|Encantado|Alegría
perturbación|Desfavorable|Enfado
pesado|Hostil|Enfado
pésimo|Desfavorable|Enfado
petición|Extrañeza|Sorpresa
piedad|Confusión|Sorpresa
plan|Tranquilo|Alegría
planificación|Impresión|Sorpresa
pobre|Seguridad|Confianza
pobreza|Apenado|Tristeza
popular|Desesperado|Miedo
posesión|Extrañeza|Sorpresa
posterior|Desesperado|Miedo
potencia|Adverso|Enfado
pqr|Complacido|Alegría
precario|Confusión|Sorpresa
precaución|Apenado|Tristeza
precedente|Angustiado|Miedo
preceder|Entusiasmado|Alegría
precio|Tranquilo|Alegría
precisión|Agobiado|Tristeza
preciso|Encantado|Alegría
premio|Fascinado|Alegría
preocupación|Agradecido|Alegría
preocupado|Pánico|Miedo
preocupante|Confuso|Miedo
presentación|Angustiado|Miedo
prestador|Complacido|Alegría
prever|Esperanza|Confianza
principal|Esperanza|Confianza
probabilidad|Entusiasmado|Alegría
probado|Desconcierto|Sorpresa
probar|Fe|Confianza
problema|Fascinado|Alegría
problemas|Desesperado|Miedo
proceder|Molestia|Enfado
procedimiento|Susto|Sorpresa
procesar|Complacido|Alegría
producción|Confuso|Miedo
productividad|Complacido|Alegría
productivo|Tranquilo|Alegría
productor|Entusiasmado|Alegría
profesional|Encantado|Alegría
profesor|Franqueza|Confianza
profundidad|Entusiasmado|Alegría
programado|Fe|Confianza
progreso|Agobiado|Tristeza
prohibición|Complacido|Alegría
prohibido|Hostil|Enfado
promesa|Perjudicial|Enfado
prometido|Esperanza|Confianza
proporcionar|Franqueza|Confianza
protector|Complacido|Alegría
proteger|Determinación|Confianza
protegido|Entusiasmado|Alegría
provisional|Esperanza|Confianza
próximo|Extrañeza|Sorpresa
prudencia|Tranquilo|Alegría
prudente|Encantado|Alegría
prueba|Determinación|Confianza
puesto|Esperanza|Confianza
puntual|Molestia|Enfado
queja|Complacido|Alegría
quemado|molesto|Enfado
rabia|Perjudicial|Enfado
rapidez|molesto|Enfado
ratificar|Tranquilo|Alegría
razón|Determinación|Confianza
reaccionar|Fascinado|Alegría
real|Confuso|Miedo
reanudación|Determinación|Confianza
recargo|Encantado|Alegría
recepción|Furioso|Enfado
rechaza|Encantado|Alegría
rechazado|irritado|Enfado
rechazar|Frustrado|Tristeza
rechazo|Agresivo|Enfado
recibido|Triste|Tristeza
reclamacion|Fascinado|Alegría
reclamación|molesto|Enfado
reclame|molesto|Enfado
reclamo|molesto|Enfado
reclamó|molesto|Enfado
recoger|molesto|Enfado
recomendable|Fascinado|Alegría
recomendar|Fascinado|Alegría
reconecta|Determinación|Confianza
reconectaban|Decepcionado|Tristeza
reconectada|Decepcionado|Tristeza
reconectadas|Decepcionado|Tristeza
reconectado|Decepcionado|Tristeza
reconectadola|Decepcionado|Tristeza
reconectador|Decepcionado|Tristeza
reconectan|Decepcionado|Tristeza
reconectando|Decepcionado|Tristeza
reconectara|Decepcionado|Tristeza
reconectará|Decepcionado|Tristeza
reconectaría|Decepcionado|Tristeza
reconectarla|Decepcionado|Tristeza
reconectarle|Decepcionado|Tristeza
reconectarlo|Decepcionado|Tristeza
reconectarme|Decepcionado|Tristeza
reconectaron|Decepcionado|Tristeza
reconectarón|Decepcionado|Tristeza
reconecte|Decepcionado|Tristeza
reconecto|Decepcionado|Tristeza
reconectó|Decepcionado|Tristeza
reconexión|Decepcionado|Tristeza
reconexiones|Decepcionado|Tristeza
reconocimiento|Decepcionado|Tristeza
reconstruir|Tranquilo|Alegría
rectificar|Entusiasmado|Alegría
recuperación|Tranquilo|Alegría
recuperar|Tranquilo|Alegría
recurrente|Fascinado|Alegría
recursos|Confusión|Sorpresa
reducción|Esperanza|Confianza
reducir|Desfavorable|Enfado
reembolso|Confusión|Sorpresa
refacturacion|Encantado|Alegría
refacturación|molesto|Enfado
refacturando|Confusión|Sorpresa
reflejo|molesto|Enfado
reforzamiento|Confusión|Sorpresa
reforzar|Seguridad|Confianza
refugio|Complacido|Alegría
registro|Fe|Confianza
regulador|Esperanza|Confianza
regularidad|Perjudicial|Enfado
renovación|Impresión|Sorpresa
repara|Complacido|Alegría
reparación|Molestia|Enfado
reparaciones|Seguridad|Confianza
reparadas|Molestia|Enfado
reparado|Molestia|Enfado
reparados|Molestia|Enfado
reparan|Molestia|Enfado
reparando|Molestia|Enfado
reparara|Molestia|Enfado
reparará|Molestia|Enfado
repararan|Molestia|Enfado
repararía|Molestia|Enfado
repararían|Molestia|Enfado
repararlas|Molestia|Enfado
repararlo|Molestia|Enfado
repararon|Molestia|Enfado
reparas|Molestia|Enfado
repare|Molestia|Enfado
repareción|Molestia|Enfado
reparen|Molestia|Enfado
reparla|Molestia|Enfado
reparo|Molestia|Enfado
reparó|Molestia|Enfado
repentino|Molestia|Enfado
reponer|Admiración|Sorpresa
reportada|Encantado|Alegría
reportado|Molestia|Enfado
reportan|Molestia|Enfado
reportando|Molestia|Enfado
reportándose|Molestia|Enfado
reportaríamos|Molestia|Enfado
reportarla|Molestia|Enfado
reportarlas|Molestia|Enfado
representado|Molestia|Enfado
representando|Fascinado|Alegría
reserva|Confusión|Sorpresa
reservado|Fascinado|Alegría
residente|Desafortunado|Enfado
residuos|Encantado|Alegría
resistencia|Desagrado|Enfado
respetuoso|Desfavorable|Enfado
respnsabilidad|Fascinado|Alegría
respnsable|Frustrado|Tristeza
responda|Frustrado|Tristeza
respondan|Molestia|Enfado
responde|Molestia|Enfado
responden|Molestia|Enfado
responderá|Molestia|Enfado
responsabilidad|Molestia|Enfado
responsable|Fe|Confianza
respuesta|Franqueza|Confianza
restricción|Inseguro|Miedo
restringir|Alarmado|Miedo
resultado|Desfavorable|Enfado
retirada|Admiración|Sorpresa
retirar|Desfavorable|Enfado
retirarse|Inseguro|Miedo
retiro|Perjudicial|Enfado
retrasar|Desafortunado|Enfado
retraso|Descontento|Enfado
retroceder|Desfavorable|Enfado
reunión|Molestia|Enfado
revisar|Extrañeza|Sorpresa
ridículo|Fascinado|Alegría
riesgo|irritado|Enfado
rigor|Pánico|Miedo
robado|Confuso|Miedo
robando|Hostil|Enfado
robar|Desfavorable|Enfado
robo|Furioso|Enfado
ruido|Molestia|Enfado
ruptura|Perjudicial|Enfado
sacrificio|Aterrado|Miedo
salida|Triste|Tristeza
salido|Adverso|Enfado
salir|Desafortunado|Enfado
satisfacción|Frustrado|Tristeza
satisfactoriamente|Satisfecho|Alegría
satisfecho|Entusiasmado|Alegría
seguro|Satisfecho|Alegría
sentido|Seguridad|Confianza
serie|Seguridad|Confianza
serio|Seguridad|Confianza
servidor|Fascinado|Alegría
servir|Seguridad|Confianza
sinceramente|Fe|Confianza
sinceridad|Complacido|Alegría
sincero|Complacido|Alegría
siniestro|Contento|Alegría
sistema|Inseguro|Miedo
situación|Esperanza|Confianza
sometido|Asombro|Sorpresa
sorpresa|Perjudicial|Enfado
sufrir|Impresión|Sorpresa
sugerir|Hostil|Enfado
suscribir|Seguridad|Confianza
suspención|Tranquilo|Alegría
suspenciones|molesto|Enfado
suspende|molesto|Enfado
suspender|molesto|Enfado
suspenderá|molesto|Enfado
suspenderán|molesto|Enfado
suspenderia|Agobiado|Tristeza
suspendería|molesto|Enfado
suspenderían|molesto|Enfado
suspenderla|molesto|Enfado
suspenderle|Agobiado|Tristeza
suspenderlo|Agobiado|Tristeza
suspenderlos|Agobiado|Tristeza
suspenderme|Agobiado|Tristeza
suspendernos|Agobiado|Tristeza
suspenderse|Agobiado|Tristeza
suspendida|Agobiado|Tristeza
suspendidas|molesto|Enfado
suspendido|molesto|Enfado
suspendiendo|molesto|Enfado
suspendiera|molesto|Enfado
suspendieran|Agobiado|Tristeza
suspensión|Agobiado|Tristeza
suspesiones|Desafortunado|Enfado
tardando|molesto|Enfado
tardanza|Irritado|Enfado
tardara|Desafortunado|Enfado
tardará|Irritado|Enfado
tardaran|Irritado|Enfado
tardarán|Irritado|Enfado
tardaron|Irritado|Enfado
tardarse|Irritado|Enfado
tarde|Irritado|Enfado
tardío|Perjudicial|Enfado
tecnología|Perjudicial|Enfado
tedioso|Tranquilo|Alegría
tempestad|Desafortunado|Enfado
tendencia|Impresión|Sorpresa
tensión|Complacido|Alegría
torcido|molesto|Enfado
tormenta|Hostil|Enfado
tragedia|Angustiado|Miedo
tramirtar|Pánico|Miedo
tramita|Molestia|Enfado
tramitada|Molestia|Enfado
tramitadas|Molestia|Enfado
tramitado|Molestia|Enfado
tramitan|Molestia|Enfado
tramitando|Molestia|Enfado
tramitara|Molestia|Enfado
tramitaré|Molestia|Enfado
tramitaría|Molestia|Enfado
tramitarla|Molestia|Enfado
tramitarlo|Molestia|Enfado
tramitarlos|Molestia|Enfado
trámite|Molestia|Enfado
tramiten|Molestia|Enfado
tramitología|Molestia|Enfado
tranquilidad|Molestia|Enfado
tranquilo|Satisfecho|Alegría
tratados|Satisfecho|Alegría
tratamiento|Molestia|Enfado
tratamos|Molestia|Enfado
tratandola|Molestia|Enfado
tratante|Molestia|Enfado
tratara|Molestia|Enfado
tratará|Molestia|Enfado
trataré|Molestia|Enfado
trataría|Molestia|Enfado
trataron|Molestia|Enfado
traté|Molestia|Enfado
traten|Molestia|Enfado
tratrando|Molestia|Enfado
traumáticas|Molestia|Enfado
traumático|Molestia|Enfado
traumatismo|Agobiado|Tristeza
tutela|Molestia|Enfado
tutelantes|Fe|Confianza
tutelar|Molestia|Enfado
último|Molestia|Enfado
urgencia|Confusión|Sorpresa
urgente|Angustiado|Miedo
usual|Alarmado|Miedo
usura|Seguridad|Confianza
utilidad|Desfavorable|Enfado
vale|Complacido|Alegría
valioso|Determinación|Confianza
valor|Fascinado|Alegría
valores|Fascinado|Alegría
variable|Seguridad|Confianza
venciendo|Confusión|Sorpresa
vencieron|Agobiado|Tristeza
vencimientos|Agobiado|Tristeza
veracidad|Agobiado|Tristeza
veraz|Franqueza|Confianza
verdad|Franqueza|Confianza
verificación|Fe|Confianza
verificada|Determinación|Confianza
verificadas|Desesperado|Miedo
verificado|Desesperado|Miedo
verifican|Desesperado|Miedo
verificara|Esperanza|Confianza
verificará|Desesperado|Miedo
verificaran|Desesperado|Miedo
verificarcual|Desesperado|Miedo
verificaré|Desesperado|Miedo
verificaría|Desesperado|Miedo
verificarla|Desesperado|Miedo
verificarle|Desesperado|Miedo
verificarlo|Desesperado|Miedo
verificarlos|Desesperado|Miedo
verificarme|Desesperado|Miedo
verificarse|Desesperado|Miedo
verificas|Desesperado|Miedo
verificcion|Desesperado|Miedo
verificio|Desesperado|Miedo
verifición|Desesperado|Miedo
verífico|Desesperado|Miedo
vigilancia|Desesperado|Miedo
vil|Desesperado|Miedo
violación|Esperanza|Confianza
violencia|Adverso|Enfado
violento|Desesperado|Miedo
volvamos|Pánico|Miedo
volvemos|Desafortunado|Enfado
volveremos|Enfado|Enfado
volverlas|Enfado|Enfado
volverlo|Enfado|Enfado
volverlos|Enfado|Enfado
volverse|Enfado|Enfado
